gene,trait,p_acat,n_tissues,in_both,z_wb
EHMT1,DR,2.989910131521117e-07,2,True,5.0834
EMC2,DN,0.18482196318981448,2,True,1.181
EMC2,DPN,1.0,2,True,-0.9648
EMC2,DR,0.00021847423306554288,2,True,3.6962
EMG1,DN,3.468259013815417e-11,2,True,-6.6252
EMG1,DPN,0.015190208215322708,2,True,2.2876
EMG1,DR,1.5357866979745058e-179,2,True,28.5711
EPB41L4A-AS1,DN,0.3646960537144837,2,True,0.7906
EPB41L4A-AS1,DPN,0.0007366618897856973,2,True,3.1799
EPB41L4A-AS1,DR,1.0,2,True,-0.4873
EPG5,DN,0.011609839899539013,2,True,-2.556
EPG5,DPN,0.033581728206719244,2,True,-2.1096
EPG5,DR,8.028705190967026e-06,2,True,-4.4637
EPOP,DN,8.940531060845866e-06,2,True,-4.4413
EPOP,DPN,0.010472420762327636,2,True,-2.4113
EPOP,DR,0.10103888747423886,2,True,-1.5883
EPS8,DN,0.48442833301436006,2,True,0.8207
EPS8,DPN,1.7429021875125488e-06,2,True,-4.7811
EPS8,DR,0.004075372140755499,2,True,-2.7287
EREG,DN,0.42040131698176547,1,False,0.8057
EREG,DPN,0.00867966492102593,1,False,-2.6244
EREG,DR,1.0562794654506513e-09,1,False,-6.1007
EXOSC8,DN,0.05548005835589222,2,True,-1.6523
EXOSC8,DPN,0.02382440562424763,2,True,-2.2363
EXOSC8,DR,5.125545204721798e-29,2,True,-0.6661
FADS3,DN,1.8175423506312984e-06,2,True,-4.7727
FADS3,DPN,0.0008405055650923005,2,True,-3.1819
FADS3,DR,0.0016591951244923435,2,True,-3.144
FAM117B,DN,0.0003678254893120751,2,True,3.5619
FAM117B,DPN,0.0008834577111623346,2,True,3.311
FAM117B,DR,0.004098928050787754,2,True,2.8595
FAM122A,DN,2.088228276277309e-08,2,True,5.4832
FAM122A,DPN,1.0,2,True,-0.1789
FAM122A,DR,2.6434810764143273e-14,2,True,7.5246
FAM124A,DN,0.1821533983551408,1,True,
FAM124A,DPN,0.9045770152479067,1,True,
FAM124A,DR,0.15112369000524808,1,True,
FAM167A,DN,0.00025919187187010344,1,True,
FAM167A,DPN,0.9006923916040993,1,True,
FAM167A,DR,6.104991165214663e-05,1,True,
FAM174B,DN,0.0033458279767769315,1,False,2.934
FAM174B,DPN,0.6971725082002906,1,False,0.3891
FAM174B,DR,0.7755979735523197,1,False,0.2851
FAM177A1,DN,0.573675573498551,1,False,0.5626
FAM177A1,DPN,0.29714361395320255,1,False,1.0426
FAM177A1,DR,0.34801370668599385,1,False,-0.9384
FAM20B,DN,1.0,2,True,-0.3015
FAM20B,DPN,0.4390089643758198,2,True,-1.4305
FAM20B,DR,0.10932532064566479,2,True,-0.705
FAM210A,DN,0.04400563959355727,2,True,-0.8253
FAM210A,DPN,1.0,2,True,-0.4185
FAM210A,DR,0.004845512137009857,2,True,2.7974
FAM213A,DN,0.017542351066344712,2,True,-1.2143
FAM213A,DPN,0.012206359510088116,2,True,1.8039
FAM213A,DR,2.126677613453107e-06,2,True,-0.9983
FAM24B,DN,1.0,2,True,0.8778
FAM24B,DPN,1.1421001389527937e-05,2,True,-1.661
FAM24B,DR,9.420688658642286e-17,2,True,8.3119
FAM87B,DN,5.365829117650285e-06,1,False,-4.55
FAM87B,DPN,0.061242743898792466,1,False,1.8717
FAM87B,DR,0.5646747130816818,1,False,0.5759
FAXDC2,DN,7.632305969395698e-05,2,True,-1.5534
FAXDC2,DPN,0.0003724845185951414,2,True,-0.4704
FAXDC2,DR,4.845633731177724e-20,2,True,-0.7901
FCF1,DN,7.262551682246555e-06,2,True,0.9737
FCF1,DPN,0.005349729316751574,2,True,0.7976
