gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
RPS14,Nerve_Tibial,DN,21.5281,8.503541508871762e-103,3,1
RPS16,Nerve_Tibial,DN,-0.2563,0.7977086976859697,2,2
RPS18,Nerve_Tibial,DN,9.3828,6.421592320192746e-21,2,2
RPS25,Nerve_Tibial,DN,0.1561,0.8759537605199389,2,1
RPS3,Nerve_Tibial,DN,-2.3509,0.01873033478470199,2,1
RPS3A,Nerve_Tibial,DN,2.8864,0.0038973826911825153,2,1
RPS8,Nerve_Tibial,DN,6.8474,7.518629784142096e-12,1,1
RRBP1,Nerve_Tibial,DN,-1.5437,0.1226688257835197,3,3
RREB1,Nerve_Tibial,DN,0.7457,0.4558221958768153,1,1
SLC16A11,Nerve_Tibial,DN,-5.4875,4.076085521337979e-08,1,1
TUBB,Nerve_Tibial,DN,3.0983,0.0019463426849975528,1,1
UBA52,Nerve_Tibial,DN,0.869,0.384831878072078,2,2
VCP,Nerve_Tibial,DN,1.7424,0.08144104057812485,2,2
XRCC5,Nerve_Tibial,DN,6.1166,9.561963212644694e-10,3,2
XRCC6,Nerve_Tibial,DN,-2.4196,0.015537077401536772,2,2
ACTB,Whole_Blood,DN,-2.3488,0.018833737596001262,1,1
ANXA1,Whole_Blood,DN,1.7561,0.07907462853632337,3,3
ANXA5,Whole_Blood,DN,5.6947,1.2360086411060428e-08,4,4
C1QBP,Whole_Blood,DN,-1.353,0.1760423450673439,1,1
CAMK1D,Whole_Blood,DN,2.8468,0.004415464744201985,2,2
CCT3,Whole_Blood,DN,3.1257,0.001773973348493959,1,1
CDKAL1,Whole_Blood,DN,9.1975,3.6631732029648614e-20,2,2
CKAP4,Whole_Blood,DN,-2.7483,0.005991017561780329,1,1
DDX5,Whole_Blood,DN,1.5011,0.1333240954661404,1,1
EEF2,Whole_Blood,DN,-0.1918,0.8478655190352526,2,2
EHD4,Whole_Blood,DN,1.5661,0.11733431274231555,4,3
EIF4H,Whole_Blood,DN,0.0315,0.9748481226791069,2,2
FTO,Whole_Blood,DN,19.6962,2.326425266494081e-86,2,2
GCKR,Whole_Blood,DN,9.5787,9.82653253279601e-22,1,1
GNA13,Whole_Blood,DN,-6.4415,1.1832443668891509e-10,1,1
GRB14,Whole_Blood,DN,7.0874,1.3668897983717902e-12,1,1
H2AFV,Whole_Blood,DN,-3.219,0.001286461291568982,2,2
HHEX,Whole_Blood,DN,1.1705,0.24178256202288595,2,1
HSP90AB1,Whole_Blood,DN,1.7638,0.07777328273662193,2,2
HSP90B1,Whole_Blood,DN,6.8908,5.548239106772298e-12,1,1
HSPB1,Whole_Blood,DN,3.7658,0.00016600431723294036,2,2
HSPD1,Whole_Blood,DN,-1.6072,0.10802100288789378,1,1
JAZF1,Whole_Blood,DN,-1.4627,0.14355240043696887,3,2
KCNJ11,Whole_Blood,DN,0.2828,0.7773391356497142,1,1
KLF14,Whole_Blood,DN,0.5242,0.6001087849294473,1,1
