gene,trait,p_acat,n_tissues,in_both
BUB3,DN,0.15328572864299445,1,False
BUB3,DPN,0.06677343836192796,1,False
BUB3,DR,0.788631745621984,1,False
BUD31,DN,3.6788889540949623e-07,2,True
BUD31,DPN,4.868682389404251e-33,2,True
BUD31,DR,0.20313593228487611,2,True
BZW1,DN,2.4767574563475157e-09,2,True
BZW1,DPN,0.19244456435058763,2,True
BZW1,DR,0.0013023937634336492,2,True
C11ORF98,DN,0.07345307570987764,2,True
C11ORF98,DPN,0.08947387733346465,2,True
C11ORF98,DR,4.131486494928815e-07,2,True
C14ORF119,DN,0.7778694151969345,1,False
C14ORF119,DPN,0.6339072650768853,1,False
C14ORF119,DR,3.469106446708445e-10,1,False
C16ORF70,DN,5.562922869592228e-06,1,False
C16ORF70,DPN,2.638810642673479e-05,1,False
C16ORF70,DR,1.3573836628693566e-22,1,False
C6ORF120,DN,0.012205551325050927,2,True
C6ORF120,DPN,0.18921770479272812,2,True
C6ORF120,DR,1.0,2,True
C9ORF78,DN,1.0,2,True
C9ORF78,DPN,1.0,2,True
C9ORF78,DR,0.0033153248601102935,2,True
CAB39,DN,1.2003565692714346e-30,1,False
CAB39,DPN,6.054341155029558e-06,1,False
CAB39,DR,0.558006032133376,1,False
CACTIN,DN,1.0,2,True
CACTIN,DPN,0.00010150676625939597,2,True
CACTIN,DR,0.03219205787028348,2,True
CALR,DN,0.0468589255645804,2,True
CALR,DPN,7.722335224153518e-05,2,True
CALR,DR,0.015898976564125995,2,True
CAND1,DN,0.22402839757492335,1,True
CAND1,DPN,0.09235235498772475,1,True
CAND1,DR,0.019454317644494054,1,True
CASC3,DN,0.37094883398011974,1,True
CASC3,DPN,0.06029210729190188,1,True
CASC3,DR,1.3053884622386677e-62,1,True
CBX1,DN,0.005762657002027563,2,True
CBX1,DPN,1.0,2,True
CBX1,DR,5.277559044912139e-20,2,True
CBY1,DN,8.272810440671176e-21,2,True
CBY1,DPN,0.004589023060796446,2,True
CBY1,DR,9.106929912145785e-63,2,True
CCAR2,DN,1.5697105573504282e-06,2,True
CCAR2,DPN,0.2305299580390558,2,True
CCAR2,DR,1.0,2,True
CCDC124,DN,0.0027262617673087155,2,True
CCDC124,DPN,0.030278597908878175,2,True
CCDC124,DR,1.0,2,True
CCDC50,DN,0.03406913712866311,2,True
CCDC50,DPN,0.003506453816323323,2,True
CCDC50,DR,0.00011918697758538587,2,True
CCDC97,DN,0.00019522093474131787,2,True
CCDC97,DPN,2.4451948696034553e-06,2,True
CCDC97,DR,2.839047328467514e-11,2,True
CCNI,DN,0.5417888861803162,1,False
CCNI,DPN,0.009586454606373064,1,False
CCNI,DR,0.8776971821440182,1,False
CCNK,DN,0.14286086116260885,2,True
CCNK,DPN,0.28867233842828965,2,True
CCNK,DR,0.2906044359884282,2,True
CCZ1,DN,0.002572789469715111,2,True
CCZ1,DPN,1.0,2,True
CCZ1,DR,1.0,2,True
CD2BP2,DN,8.59091589809981e-29,2,True
CD2BP2,DPN,1.2599929370962654e-80,2,True
CD2BP2,DR,1.810658111961236e-28,2,True
CDC123,DN,0.16244593798462262,1,False
CDC123,DPN,0.18585915673782846,1,False
CDC123,DR,0.4274200673993891,1,False
CDC16,DN,1.0,2,True
CDC16,DPN,1.0,2,True
CDC16,DR,1.0,2,True
CDC26,DN,1.0,2,True
CDC26,DPN,0.4488042944129255,2,True
CDC26,DR,9.332396346930688e-07,2,True
CDC37L1,DN,0.03641255494236663,2,True
CDC37L1,DPN,1.0,2,True
CDC37L1,DR,0.004019236073952552,2,True
CDC42,DN,9.02141545048897e-12,2,True
CDC42,DPN,0.04487235645159579,2,True
CDC42,DR,4.1337364618044145e-09,2,True
CDC42SE1,DN,1.555102615429181e-10,2,True
CDC42SE1,DPN,3.36624629817142e-32,2,True
CDC42SE1,DR,3.191134454792865e-08,2,True
