gene,trait,grp,z_Nerve_Tibial,z_Whole_Blood,n_snps_matched_NT,n_snps_matched_WB,p_ACAT_O,n_tissues,z_ACAT_O
SDF4,DN,HK_v2,,2.4273,,2.0,0.01521167139635223,1,2.4273
SDF4,DPN,HK_v2,,9.7001,,2.0,3.0120327793472426e-22,1,9.700099999999999
SDF4,DR,HK_v2,,0.0831,,2.0,0.9337720258477462,1,0.08309999999999987
SDHAF2,DN,HK_v2,-1.3822,,1.0,,0.1669103001250395,1,-1.3822
SDHAF2,DPN,HK_v2,-2.4469,,1.0,,0.014409081114935987,1,-2.4468999999999994
SDHAF2,DR,HK_v2,8.2011,,1.0,,2.381972786018749e-16,1,8.2011
SEC13,DN,HK_v2,0.2085,,1.0,,0.8348385826373494,1,0.20849999999999996
SEC13,DPN,HK_v2,2.6659,,1.0,,0.007678252853033408,1,2.6658999999999997
SEC13,DR,HK_v2,-0.1451,,1.0,,0.8846319182893547,1,-0.1450999999999999
SF3B4,DN,HK_v2,0.4852,0.4797,1.0,1.0,1.0,2,1.8669045833583425e-59
SF3B4,DPN,HK_v2,-9.0237,-9.0211,1.0,1.0,9.199991432845845e-20,2,-9.09801249610037
SF3B4,DR,HK_v2,2.4267,2.4355,1.0,1.0,0.007530118726295638,2,2.6724429059197545
SLC16A11,DN,30 T2DM Control,-5.4875,,1.0,,4.076620169657015e-08,1,-5.487499999999999
SLC16A11,DPN,30 T2DM Control,11.8045,,1.0,,3.699836856629687e-32,1,11.8045
SLC16A11,DR,30 T2DM Control,-5.0709,,1.0,,3.9593879011513014e-07,1,-5.0709
SRM,DN,HK_v2,-0.0847,-1.6787,2.0,2.0,1.0,2,-1.8669045833583425e-59
SRM,DPN,HK_v2,3.0595,0.4707,2.0,2.0,0.0022242306494665823,2,3.0585336943045567
SRM,DR,HK_v2,0.6266,-10.1163,2.0,2.0,4.67765346040303e-24,2,10.116299999999999
ST6GAL1,DN,30 T2DM Control,,-2.8081,,1.0,0.004983474924353315,1,-2.8080999999999996
ST6GAL1,DPN,30 T2DM Control,,-2.4228,,1.0,0.015401403233177385,1,-2.4227999999999996
ST6GAL1,DR,30 T2DM Control,,-0.8062,,1.0,0.42012753872484604,1,-0.8062
STX4,DN,HK_v2,-1.4484,-1.8846,1.0,1.0,0.04339313074354603,2,-2.0199060777846
STX4,DPN,HK_v2,-0.326,-0.6619,1.0,1.0,1.0,2,-1.8669045833583425e-59
STX4,DR,HK_v2,-1.8078,-2.1158,1.0,1.0,0.023261714631589832,2,-2.2691087298180266
TOMM20,DN,HK_v2,0.3551,6.333,2.0,3.0,2.4043956341690356e-10,2,6.332999999902064
TOMM20,DPN,HK_v2,1.1831,6.715,2.0,3.0,1.880662201010669e-11,2,6.715000000009363
TOMM20,DR,HK_v2,1.5243,3.4235,2.0,3.0,0.0006153784398409876,2,3.4247442382742417
TRIP12,DN,HK_v2,,1.2159,,1.0,0.22402301809950925,1,1.2159
TRIP12,DPN,HK_v2,,0.9717,,1.0,0.3311998167922704,1,0.9717
TRIP12,DR,HK_v2,,-0.342,,1.0,0.7323508922586834,1,-0.34199999999999986
TUBB,DN,30 HOTAIR Candidate,3.0983,3.0983,1.0,1.0,0.0009731805588339655,2,3.2981675187181017
TUBB,DPN,30 HOTAIR Candidate,1.1674,1.1674,1.0,1.0,0.14209431716178425,2,1.468036468359458
TUBB,DR,30 HOTAIR Candidate,2.764,2.764,1.0,1.0,0.002855106631183197,2,2.9829220894499997
U2AF2,DN,HK_v2,1.9351,1.9351,1.0,1.0,0.02667373086588587,2,2.216259560671105
U2AF2,DPN,HK_v2,-1.0535,-1.0535,1.0,1.0,0.1842486002583184,2,-1.327786644459891
U2AF2,DR,HK_v2,3.3648,3.3648,1.0,1.0,0.0003829963600232825,2,3.5515313523061813
UBA52,DN,44 Non-Candidate,0.869,0.4208,2.0,2.0,1.0,2,1.8669045833583425e-59
UBA52,DPN,44 Non-Candidate,-1.9494,-2.6012,2.0,2.0,0.007874998096771727,2,-2.657382739206704
UBA52,DR,44 Non-Candidate,0.2743,0.195,2.0,2.0,1.0,2,1.8669045833583425e-59
VCP,DN,30 HOTAIR Candidate,1.7424,1.8678,2.0,2.0,0.035577918739374936,2,2.101718765727864
VCP,DPN,30 HOTAIR Candidate,-2.6803,-3.2684,2.0,2.0,0.0009429475897022617,2,-3.3070182190410815
VCP,DR,30 HOTAIR Candidate,1.27,2.4294,2.0,2.0,0.014219254011483759,2,2.451676228082297
XRCC5,DN,30 HOTAIR Candidate,6.1166,9.3545,2.0,3.0,8.399605183260302e-21,2,9.354500000000929
XRCC5,DPN,30 HOTAIR Candidate,1.8105,5.3291,2.0,3.0,9.870050719716295e-08,2,5.329100251109576
XRCC5,DR,30 HOTAIR Candidate,1.1497,0.4657,2.0,3.0,0.3467993352245739,2,0.940815658241853
XRCC6,DN,30 HOTAIR Candidate,-2.4196,-8.3745,2.0,2.0,5.545882236759294e-17,2,-8.374500000000001
XRCC6,DPN,30 HOTAIR Candidate,-0.0151,-8.2889,2.0,2.0,1.143005892388408e-16,2,-8.288899999999998
XRCC6,DR,30 HOTAIR Candidate,0.4233,-9.2325,2.0,2.0,2.6438772172789713e-20,2,9.232499999999998
YWHAQ,DN,30 HOTAIR Candidate,,0.2723,,1.0,0.7853913562212508,1,0.2723
YWHAQ,DPN,30 HOTAIR Candidate,,1.1234,,1.0,0.26126764982145456,1,1.1233999999999997
YWHAQ,DR,30 HOTAIR Candidate,,3.6939,,1.0,0.00022084067851798906,1,3.6939
