gene,trait,grp,z_Nerve_Tibial,z_Whole_Blood,n_snps_matched_NT,n_snps_matched_WB,p_ACAT_O,n_tissues,z_ACAT_O
ARAP1,DN,30 T2DM Control,-2.2401,,2.0,,0.02508443154583089,1,-2.2401
ARAP1,DPN,30 T2DM Control,1.0072,,2.0,,0.31383867308397606,1,1.0072
ARAP1,DR,30 T2DM Control,-2.1893,,2.0,,0.028575042366157412,1,-2.1892999999999994
ATG101,DN,HK_v2,0.8225,0.7556,1.0,1.0,0.3663102384751434,2,0.9034064114428288
ATG101,DPN,HK_v2,1.2945,1.2352,1.0,1.0,0.1147638626186549,2,1.577137619972088
ATG101,DR,HK_v2,-1.0681,-1.0225,1.0,1.0,0.18772774749453505,2,-1.3173308535486195
C1QBP,DN,44 Non-Candidate,-2.8837,-1.353,2.0,1.0,0.003853267930676763,2,-2.889930673336898
C1QBP,DPN,44 Non-Candidate,-4.4759,-1.8171,2.0,1.0,7.608186205385798e-06,2,-4.475923116071973
C1QBP,DR,44 Non-Candidate,-0.7199,0.4253,2.0,1.0,1.0,2,-1.8669045833583425e-59
CAMK1D,DN,30 T2DM Control,1.8158,2.8468,1.0,2.0,0.0041558830536501815,2,2.8660806880815715
CAMK1D,DPN,30 T2DM Control,1.9132,-2.2566,1.0,2.0,0.01684975200622786,2,2.3899699364188116
CAMK1D,DR,30 T2DM Control,3.6323,3.9862,1.0,2.0,5.418828607072338e-05,2,4.036786735420561
CCT3,DN,44 Non-Candidate,,3.1257,,1.0,0.0017738240617725628,1,3.1257
CCT3,DPN,44 Non-Candidate,,2.568,,1.0,0.010228715606399541,1,2.5679999999999996
CCT3,DR,44 Non-Candidate,,-1.2134,,1.0,0.22497692632846394,1,-1.2134
CDKAL1,DN,30 T2DM Control,-1.5653,9.1975,3.0,2.0,3.663742035387554e-20,2,-9.197499999999998
CDKAL1,DPN,30 T2DM Control,-1.5143,0.9555,3.0,2.0,0.10691594078434087,2,-1.612211421156327
CDKAL1,DR,30 T2DM Control,-2.0927,6.6261,3.0,2.0,3.446717209226418e-11,2,-6.626100000139333
CFDP1,DN,HK_v2,-0.1085,-0.1828,2.0,1.0,1.0,2,-1.8669045833583425e-59
CFDP1,DPN,HK_v2,-0.2648,0.6972,2.0,1.0,1.0,2,-1.8669045833583425e-59
CFDP1,DR,HK_v2,-1.4248,-0.7623,2.0,1.0,0.14314875674792346,2,-1.464165417345166
CKAP4,DN,30 HOTAIR Candidate,,-2.7483,,1.0,0.0059905169515121716,1,-2.7482999999999995
CKAP4,DPN,30 HOTAIR Candidate,,4.7995,,1.0,1.5906223602409106e-06,1,4.7995
CKAP4,DR,30 HOTAIR Candidate,,2.9709,,1.0,0.002969284482544132,1,2.9708999999999994
CUL1,DN,HK_v2,0.7917,-0.2758,1.0,2.0,1.0,2,1.8669045833583425e-59
CUL1,DPN,HK_v2,-1.2109,-2.963,1.0,2.0,0.0030130020298716168,2,-2.9664082930844184
CUL1,DR,HK_v2,-2.6757,-1.6527,1.0,2.0,0.006947719670163883,2,-2.699339800394397
DCTN2,DN,HK_v2,1.5525,1.5525,1.0,1.0,0.0625117226887755,2,1.8626485943709685
DCTN2,DPN,HK_v2,6.1099,6.1099,1.0,1.0,4.984679344533879e-10,2,6.219586131520382
