gene,ensg,trait,zscore,pvalue,n_snps_model,n_snps_matched,n_dropped,grp
PAM,ENSG00000145730,DR,1.4742,0.14043954770459757,5032,4670,362,T2DM_Control
PCBP2,ENSG00000197111,DR,,,0,0,0,NonCandidate
PDIA3,ENSG00000167004,DR,-0.2749,0.7834038550282054,417,394,23,NonCandidate
PDIA6,ENSG00000143870,DR,1.1564,0.24753742778116364,590,565,25,NonCandidate
PNN,ENSG00000100941,DR,-5.1735,2.298095424027592e-07,825,758,67,NonCandidate
PPARG,ENSG00000132170,DR,-2.5581,0.010524139216298748,1511,1431,80,T2DM_Control
PSMC1,ENSG00000100764,DR,1.7742,0.07602981900784271,159,155,4,HK_v2
PUF60,ENSG00000179950,DR,0.1338,0.8935651929908845,20,20,0,NonCandidate
RABGGTB,ENSG00000137955,DR,2.5438,0.010965692257333699,1238,1150,88,HK_v2
RBX1,ENSG00000100387,DR,,,0,0,0,HK_v2
RNF181,ENSG00000168894,DR,1.6415,0.10068453969430764,155,150,5,HK_v2
RNH1,ENSG00000023191,DR,13.318,1.8202993226245894e-40,898,726,172,Candidate
RNPS1,ENSG00000205937,DR,-0.4143,0.6786471362123593,261,246,15,HK_v2
RPL10A,ENSG00000198755,DR,4.4431,8.867319285955881e-06,1460,1408,52,NonCandidate
RPL13,ENSG00000167526,DR,3.4954,0.00047338467047222514,2059,1782,277,Excluded_NonTestbed
RPL13A,ENSG00000142541,DR,3.3275,0.000876240361145691,629,575,54,Candidate
RPL14,ENSG00000188846,DR,1.8947,0.058138391277676074,1441,1335,106,NonCandidate
RPL17,ENSG00000265681,DR,2.8261,0.004711997667914166,1352,1258,94,Excluded_NonTestbed
RPL27A,ENSG00000166441,DR,-0.1166,0.9072151523593618,901,859,42,NonCandidate
RPL5,ENSG00000122406,DR,,,0,0,0,Candidate
RPL7A,ENSG00000148303,DR,1.2487,0.21178563867299777,1,1,0,Excluded_NonTestbed
RPL8,ENSG00000161016,DR,-1.2332,0.21749864827413318,1349,1235,114,Candidate
RPLP0,ENSG00000089157,DR,2.9059,0.003661419309450156,133,126,7,Candidate
RPN1,ENSG00000163902,DR,-2.0142,0.04398400684018885,929,865,64,NonCandidate
RPS13,ENSG00000110700,DR,1.2012,0.22966197927300286,145,136,9,Candidate
RPS14,ENSG00000164587,DR,0.5389,0.5899893937487242,208,197,11,Candidate
RPS16,ENSG00000105193,DR,-2.3493,0.01881034985842361,406,386,20,Candidate
RPS18,ENSG00000231500,DR,13.4014,5.936681104238907e-41,992,379,613,Candidate
RPS25,ENSG00000118181,DR,2.7936,0.005212579978402457,182,174,8,Candidate
RPS3,ENSG00000149273,DR,1.5584,0.11914052488089344,26,25,1,Candidate
RPS3A,ENSG00000145425,DR,4.0063,6.16716631293984e-05,793,750,43,NonCandidate
RPS8,ENSG00000142937,DR,5.1913,2.087949373900304e-07,1541,1424,117,NonCandidate
RPSA,ENSG00000168028,DR,-0.3236,0.7462110525475729,505,475,30,Candidate
RRBP1,ENSG00000125844,DR,-5.9109,3.4027358119876455e-09,576,562,14,NonCandidate
SDF4,ENSG00000078808,DR,5.6697,1.4304470610500783e-08,575,502,73,HK_v2
SDHAF2,ENSG00000167985,DR,43.1912,0.0,17,17,0,HK_v2
SEC13,ENSG00000157020,DR,2.0783,0.03767893488948559,1420,1317,103,HK_v2
SERPINB9,ENSG00000170542,DR,,,909,0,909,NonCandidate
SERPINH1,ENSG00000149257,DR,-3.2174,0.0012933935354911127,461,447,14,Excluded_NonTestbed
SF3B4,ENSG00000143368,DR,,,0,0,0,HK_v2
SLC16A11,ENSG00000174326,DR,0.0176,0.985921966453194,59,53,6,T2DM_Control
SPRYD3,ENSG00000167778,DR,12.6451,1.1911305254248218e-36,392,372,20,HK_v2
SRM,ENSG00000116649,DR,-11.7831,4.7681400294603683e-32,39,39,0,HK_v2
ST6GAL1,ENSG00000073849,DR,2.8041,0.005045343953995661,669,612,57,T2DM_Control
STX4,ENSG00000103496,DR,-2.0462,0.0407386207804282,1112,1025,87,HK_v2
TCF7L2,ENSG00000148737,DR,1.6537,0.09818276067092155,285,266,19,T2DM_Control
TOMM20,ENSG00000173726,DR,-2.53,0.011404765948946818,252,238,14,HK_v2
TPM4,ENSG00000167460,DR,-4.3295,1.4943646503836477e-05,125,123,2,Excluded_NonTestbed
TRIP12,ENSG00000153827,DR,-1.5775,0.11469061077899895,538,506,32,HK_v2
TUBB,ENSG00000196230,DR,48.516,0.0,1848,359,1489,Candidate
TUT1,ENSG00000149016,DR,4.0171,5.8911825699229746e-05,106,99,7,HK_v2
U2AF2,ENSG00000063244,DR,-7.7331,1.0492354632140024e-14,98,95,3,HK_v2
UBA52,ENSG00000221983,DR,-2.3164,0.020534289392469606,674,619,55,NonCandidate
VAT1,ENSG00000108828,DR,-0.657,0.5111951573375303,1141,1047,94,Excluded_NonTestbed
VCP,ENSG00000165280,DR,1.4652,0.14287570428057886,985,936,49,Candidate
XRCC5,ENSG00000079246,DR,-0.9888,0.3227633371339676,381,370,11,Candidate
XRCC6,ENSG00000196419,DR,3.8757,0.00010630958994179188,512,495,17,Candidate
YWHAQ,ENSG00000134308,DR,2.2312,0.025670022750646233,422,398,24,Candidate
ACTB,ENSG00000075624,DN,-0.0601,0.9521049631491663,23,23,0,Candidate
ANKRD40,ENSG00000154945,DN,-2.4969,0.012529615601251555,137,130,7,HK_v2
ANXA1,ENSG00000135046,DN,0.9673,0.3333730876522969,1635,1572,63,NonCandidate
ANXA5,ENSG00000164111,DN,-1.6541,0.09811236504462531,1769,1654,115,NonCandidate
AP3M1,ENSG00000185009,DN,3.3991,0.000676034393290847,863,823,40,HK_v2
ATG101,ENSG00000123395,DN,-0.5408,0.5886121028043584,161,156,5,HK_v2
C1QBP,ENSG00000108561,DN,4.452,8.508873868770767e-06,64,56,8,NonCandidate
CAMK1D,ENSG00000183049,DN,1.881,0.05996847282349197,1402,1276,126,T2DM_Control
CCT3,ENSG00000163468,DN,3.3346,0.00085435278659171,579,545,34,NonCandidate
CDKAL1,ENSG00000145996,DN,-1.2657,0.20560405498295817,820,779,41,T2DM_Control
CFDP1,ENSG00000153774,DN,-0.5867,0.5574055133320481,1387,1317,70,HK_v2
CKAP4,ENSG00000136026,DN,-0.8613,0.389071935378518,659,633,26,Candidate
CUL1,ENSG00000055130,DN,-1.445,0.1484683855458744,275,261,14,HK_v2
DCTN2,ENSG00000175203,DN,-0.6134,0.5396151631046957,233,219,14,HK_v2
DDX5,ENSG00000108654,DN,2.2761,0.022840501707395912,367,335,32,Candidate
DNAJC4,ENSG00000110011,DN,-2.6101,0.009051878978800543,95,94,1,HK_v2
DUSP8,ENSG00000184545,DN,-6.7436,1.5446562103308327e-11,316,298,18,T2DM_Control
E2F4,ENSG00000205250,DN,2.5263,0.01152839241443426,933,885,48,HK_v2
EEF2,ENSG00000167658,DN,-2.8683,0.004127454253836803,206,188,18,NonCandidate
EHD4,ENSG00000103966,DN,1.3273,0.18439329686034264,1731,1631,100,NonCandidate
EIF4H,ENSG00000106682,DN,0.9121,0.36169858680855,156,150,6,Candidate
FIBP,ENSG00000172500,DN,4.5182,6.237363113139299e-06,986,915,71,HK_v2
FTO,ENSG00000140718,DN,3.1078,0.001884946300253968,415,406,9,T2DM_Control
GCKR,ENSG00000084734,DN,,,0,0,0,T2DM_Control
GNA13,ENSG00000120063,DN,-10.4523,1.4304002450502068e-25,215,196,19,NonCandidate
