Gene,Trait,Z_Nerve_Tibial,Z_Whole_Blood,Z_Multi,P_Multi,n_Tissues,FDR_q
RRBP1,DPN,0.9096,-0.3309,0.3581,0.720276622823373,2,0.779477441137623
RREB1,DPN,1.9316,,1.9316,0.053408895859399376,1,0.09812332029982676
SERPINH1,DPN,-9.304,0.4332,-5.8663,4.4555339131255e-09,2,2.0705128184524384e-08
SLC16A11,DPN,11.8045,,11.8045,3.6998368566295875e-32,1,7.307177791843435e-31
ST6GAL1,DPN,1.2191,-2.4228,-0.9978,0.31837171939319775,2,0.4657660339270856
TPM4,DPN,-0.2898,,-0.2898,0.7719692478667453,1,0.813140941086305
TUBB,DPN,1.1674,1.1674,1.6482,0.09930723195509927,2,0.17054937661854006
UBA52,DPN,-1.9494,-2.6012,-3.2389,0.0011997585803006265,2,0.0030574492852822417
VAT1,DPN,-1.9028,-1.7857,-2.5991,0.009347203311034644,2,0.019957542204641538
VCP,DPN,-2.6803,-3.2684,-4.2233,2.4073182759871972e-05,2,8.268614947956025e-05
XRCC5,DPN,1.8105,5.3291,5.1832,2.181492774495417e-07,2,8.616896459256898e-07
XRCC6,DPN,-0.0151,-8.2889,-6.1985,5.700442450495909e-10,2,3.0022330239278457e-09
YWHAQ,DPN,,1.1234,1.1234,0.26126764982145456,1,0.4047087124685277
