Gene,Trait,n_Tissues,P_ACAT_O,FDR_q
DDX5,DPN,2,0.2853964509179185,0.39554946706167654
DHX9,DPN,1,1.7763568394002505e-15,1.11096317330824e-14
DUSP8,DPN,2,0.006982985572662637,0.016225172360010247
EEF2,DPN,2,0.0019954616629245248,0.0054359128058978435
EHD4,DPN,2,1.887379141862766e-15,1.11096317330824e-14
EIF4A1,DPN,1,0.6369872092115506,0.7087604158832747
EIF4H,DPN,1,0.4119600323556007,0.5246750791389054
FTO,DPN,2,2.1094237467877974e-15,1.11096317330824e-14
GAPDH,DPN,1,0.008354394099474027,0.018857060967384234
GCK,DPN,1,0.931174569989936,0.937762133497109
GCKR,DPN,2,8.372721722949006e-05,0.00025440192927421977
GNA13,DPN,1,8.048743249017276e-05,0.00025434028666894594
GRB14,DPN,2,9.216775120890475e-10,3.6406261727517377e-09
H2AFV,DPN,2,0.0015990333679422042,0.004678653187682746
HHEX,DPN,2,0.0041878484688581685,0.010626785565606724
HNRNPA3,DPN,1,0.0027514647577058238,0.00724552386195867
HSP90AB1,DPN,2,2.1094237467877974e-15,1.11096317330824e-14
HSP90B1,DPN,2,1.1487142198340905e-05,4.1249283348587795e-05
HSPB1,DPN,1,0.034602704893075376,0.06508604015602273
HSPD1,DPN,1,0.3677357832089393,0.4762479815328886
JAZF1,DPN,2,0.6721711858265097,0.7352209558357913
KCNJ11,DPN,2,0.9315166290929331,0.937762133497109
KLF14,DPN,1,0.5936670043968274,0.6797057006862227
MFAP1,DPN,1,0.2322161956234377,0.34013000474176147
MYH9,DPN,1,0.5668343291494131,0.6784835151939945
NCL,DPN,1,0.9075988463759272,0.937762133497109
PAM,DPN,1,0.1510172459998212,0.24347678436705866
PCBP2,DPN,1,0.5502442477925433,0.6687583934709372
PDIA3,DPN,2,2.1094237467877974e-15,1.11096317330824e-14
PDIA6,DPN,1,0.8769380313527677,0.9237080596915819
PNN,DPN,2,9.992007221626409e-16,1.11096317330824e-14
PPARG,DPN,2,4.733138325718755e-10,2.024712149401908e-09
PROX1,DPN,1,0.057459271094797704,0.09868005253236997
PUF60,DPN,2,0.1805535826713341,0.2796810398242234
RNH1,DPN,2,2.1094237467877974e-15,1.11096317330824e-14
RPL10A,DPN,2,1.887379141862766e-15,1.11096317330824e-14
RPL13,DPN,2,0.6793813895697818,0.7352209558357913
RPL13A,DPN,1,0.4184117719715322,0.5246750791389054
RPL14,DPN,2,0.062256534024343224,0.10464396144517266
RPL17,DPN,2,0.432415784995838,0.5337632346042375
RPL23A,DPN,1,1.815214645262131e-14,8.435409233865198e-14
RPL27A,DPN,2,0.036966167769933334,0.0679145872982496
RPL5,DPN,1,0.5813983398214557,0.6797057006862227
RPL7,DPN,1,0.316059582323263,0.42319842378877587
RPL7A,DPN,2,0.18002846312225856,0.2796810398242234
RPL8,DPN,2,0.028555195709086323,0.05936474897415315
RPLP0,DPN,2,0.050574260435346574,0.09080378578164498
RPN1,DPN,2,0.004304520735435635,0.010626785565606724
RPS14,DPN,2,0.32926072677458007,0.43352662358653044
RPS16,DPN,2,0.0332106276942461,0.06399120945964491
RPS18,DPN,2,9.992007221626409e-16,1.11096317330824e-14
RPS25,DPN,2,0.030032058730370292,0.0608341702486988
RPS3,DPN,1,0.6119553534392512,0.6906353274528693
RPS3A,DPN,1,4.869560865650158e-10,2.024712149401908e-09
RPS8,DPN,2,0.005963268853553805,0.01427570422517426
RPSA,DPN,2,0.937762133497109,0.937762133497109
RRBP1,DPN,2,0.5876337670185141,0.6797057006862227
RREB1,DPN,1,0.05340327487233226,0.0937524158869833
SERPINH1,DPN,2,2.1094237467877974e-15,1.11096317330824e-14
SLC16A11,DPN,1,9.992007221626409e-16,1.11096317330824e-14
ST6GAL1,DPN,2,0.02765983905461994,0.05905749419770203
TPM4,DPN,1,0.7719713133418309,0.8241315372162789
TUBB,DPN,2,0.24305701535092672,0.34911825841314925
UBA52,DPN,2,0.015134071298458451,0.03321087868272827
VAT1,DPN,2,0.06499772600134102,0.10697542404387375
VCP,DPN,2,0.0018086346123626917,0.005102933370594738
XRCC5,DPN,2,1.8664177936500437e-07,7.021285985635879e-07
XRCC6,DPN,2,1.887379141862766e-15,1.11096317330824e-14
YWHAQ,DPN,1,0.2612499031847941,0.3685489705642631
