Gene,Trait,Tissue,Group,Z_eQTLGen,P_eQTLGen,n_SNPs_Model,n_SNPs_Matched
JAZF1,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-0.2358,0.8135653795143643,649,622
GCK,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-0.3685,0.7124935173019913,51,50
H2AFV,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,6.608,3.895017641752929e-11,197,186
EIF4H,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,3.5709,0.00035575741739402034,144,139
HSPB1,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,6.9983,2.5912605394751154e-12,226,222
PABPC1,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-0.2689,0.7879852742926796,147,142
PUF60,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-1.2309,0.21837609248527046,7,7
RPL8,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.5357,0.5921319634699489,1052,976
VCP,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.7569,0.00583574633801387,796,763
ANXA1,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,0.5524,0.580698702969662,1227,1197
CAMK1D,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-4.3204,1.55723253603135e-05,951,914
HHEX,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-7.8096,5.773159728050814e-15,996,954
RNH1,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,6.838,8.030909270928532e-12,714,587
DUSP8,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-11.2647,0.0,201,195
RPL27A,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,2.6122,0.00899550896253487,641,623
RPS13,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-1.896,0.05796024295979807,30,28
KCNJ11,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-0.1962,0.8444278767748967,330,321
ARAP1,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-2.1757,0.02957660318756483,131,131
RPS3,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.5203,0.6028736519860423,22,22
SERPINH1,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,4.3592,1.305374660787173e-05,300,292
RPS25,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-1.8357,0.06639736874894409,157,153
HSPA8,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-3.6395,0.00027319681489679226,250,240
GAPDH,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,3.866,0.0001106314855197077,470,443
HSP90B1,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-4.4017,1.0741556148552434e-05,23,23
CKAP4,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.2626,0.7928498305661704,460,448
RPLP0,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,10.8736,0.0,69,63
PNN,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-23.6811,0.0,675,630
EHD4,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,1.4779,0.13942553171188754,1209,1155
PDIA3,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,2.8478,0.004402920427981627,357,343
MFAP1,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,14.261,0.0,635,594
FTO,DN,eQTLGen_Whole_Blood,30_T2DM_Control,11.6604,0.0,238,234
RPL13,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,0.2723,0.785422936527274,1331,1165
C1QBP,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,3.2641,0.0010982670743449052,10,6
SLC16A11,DN,eQTLGen_Whole_Blood,30_T2DM_Control,-1.4374,0.15060216793900372,37,37
EIF4A1,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.7604,0.44699407027916394,2,2
RPL23A,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.4382,0.6612239077116722,8,8
VAT1,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-4.1369,3.520434747805723e-05,940,866
DDX5,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,2.2744,0.02294060941397036,281,257
GNA13,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-6.5213,6.970979349318895e-11,163,146
