Gene,Group,Trait,Z_eQTLGen,Z_GTEx_Multi,Abs_Z_eQTLGen,Abs_Z_GTEx
ANXA1,44_NonCandidate_HOTAIR,DPN,1.8416,2.0918,1.8416,2.0918
CAMK1D,30_T2DM_Control,DPN,3.5025,-0.1446,3.5025,0.1446
HHEX,30_T2DM_Control,DPN,-10.6626,1.2483,10.6626,1.2483
DUSP8,30_T2DM_Control,DPN,-1.2759,-0.3451,1.2759,0.3451
RPL27A,44_NonCandidate_HOTAIR,DPN,3.6551,-1.0655,3.6551,1.0655
KCNJ11,30_T2DM_Control,DPN,-6.0571,0.3099,6.0571,0.3099
ARAP1,30_T2DM_Control,DPN,-3.3378,1.0105,3.3378,1.0105
SERPINH1,44_NonCandidate_HOTAIR,DPN,0.5738,-3.5326,0.5738,3.5326
PNN,44_NonCandidate_HOTAIR,DPN,-34.8579,-4.0352,34.8579,4.0352
EHD4,44_NonCandidate_HOTAIR,DPN,2.7273,-2.5884,2.7273,2.5884
PDIA3,44_NonCandidate_HOTAIR,DPN,-3.6156,2.5989,3.6156,2.5989
MFAP1,44_NonCandidate_HOTAIR,DPN,-2.5355,-0.2318,2.5355,0.2318
FTO,30_T2DM_Control,DPN,9.4061,-1.9708,9.4061,1.9708
RPL13,44_NonCandidate_HOTAIR,DPN,0.4612,0.6516,0.4612,0.6516
C1QBP,44_NonCandidate_HOTAIR,DPN,1.5695,-2.9709,1.5695,2.9709
SLC16A11,30_T2DM_Control,DPN,-1.3436,2.2965,1.3436,2.2965
VAT1,44_NonCandidate_HOTAIR,DPN,-24.4594,-1.7048,24.4594,1.7048
GNA13,44_NonCandidate_HOTAIR,DPN,0.9145,0.9492,0.9145,0.9492
RPL17,44_NonCandidate_HOTAIR,DPN,-3.0482,-0.0414,3.0482,0.0414
EEF2,44_NonCandidate_HOTAIR,DPN,3.7826,2.532,3.7826,2.532
TPM4,44_NonCandidate_HOTAIR,DPN,0.9397,-0.1934,0.9397,0.1934
UBA52,44_NonCandidate_HOTAIR,DPN,-3.0292,-2.9575,3.0292,2.9575
RRBP1,44_NonCandidate_HOTAIR,DPN,-2.1606,0.2244,2.1606,0.2244
MYH9,44_NonCandidate_HOTAIR,DPN,-1.0188,-0.5914,1.0188,0.5914
